schema,relationship,object,context,pair,spec_obj,violation,comic_name,ecog,scn_cat,scn_type,cong_code,congruency,corr_ans,cue_file,action1,action2,action3,target_file
throw,parents,frisbee,camping_11,wm_29,yellow_frisbee,unrelated,01-01_02_02_115,NaN,camping,outdoor,6,con,left,stim/01-01_02_02_115_Slide-01.png,stim/01-01_02_02_115_Slide-02.png,stim/01-01_02_02_115_Slide-03.png,stim/01-01_02_02_115_Slide-04.png,stim/01-01_02_02_115_Slide-06.png
throw,parents,frisbee,beach_15,mm_25,red_frisbee,other_schema,01-01_02_02_103,NaN,beach,outdoor,5,neu,right,stim/01-01_02_02_103_Slide-01.png,stim/01-01_02_02_103_Slide-02.png,stim/01-01_02_02_103_Slide-03.png,stim/01-01_02_02_103_Slide-04.png,stim/01-01_02_02_103_Slide-05.png
throw,parents,frisbee,camping_13,mw_29,yellow_frisbee,unrelated,01-01_02_02_117,1,camping,outdoor,8,inc,right,stim/01-01_02_02_117_Slide-01.png,stim/01-01_02_02_117_Slide-02.png,stim/01-01_02_02_117_Slide-03.png,stim/01-01_02_02_117_Slide-04.png,stim/01-01_02_02_117_Slide-08.png
throw,parents,frisbee,kitchen_13,mw_17,red_frisbee,context,01-01_02_01_69,1,kitchen,indoor,6,con,left,stim/01-01_02_01_69_Slide-01.png,stim/01-01_02_01_69_Slide-02.png,stim/01-01_02_01_69_Slide-03.png,stim/01-01_02_01_69_Slide-04.png,stim/01-01_02_01_69_Slide-06.png
throw,parents,frisbee,living_11,wm_21,red_frisbee,unrelated,01-01_02_01_83,NaN,living,indoor,5,neu,right,stim/01-01_02_01_83_Slide-01.png,stim/01-01_02_01_83_Slide-02.png,stim/01-01_02_01_83_Slide-03.png,stim/01-01_02_01_83_Slide-04.png,stim/01-01_02_01_83_Slide-05.png
throw,parents,frisbee,picnic_15,mm_31,yellow_frisbee,action,01-01_02_02_127,NaN,picnic,outdoor,8,inc,right,stim/01-01_02_02_127_Slide-01.png,stim/01-01_02_02_127_Slide-02.png,stim/01-01_02_02_127_Slide-03.png,stim/01-01_02_02_127_Slide-04.png,stim/01-01_02_02_127_Slide-08.png
throw,parents,frisbee,office_13,mw_23,yellow_frisbee,action,01-01_02_01_93,1,office,indoor,6,con,left,stim/01-01_02_01_93_Slide-01.png,stim/01-01_02_01_93_Slide-02.png,stim/01-01_02_01_93_Slide-03.png,stim/01-01_02_01_93_Slide-04.png,stim/01-01_02_01_93_Slide-06.png
serve,adults,drinks,picnic_14,mw_50,milk,context,02-02_02_02_126,1,picnic,outdoor,5,neu,right,stim/02-02_02_02_126_Slide-09.png,stim/02-02_02_02_126_Slide-10.png,stim/02-02_02_02_126_Slide-11.png,stim/02-02_02_02_126_Slide-12.png,stim/02-02_02_02_126_Slide-13.png
serve,adults,drinks,beach_30,mw_54,milk,other_schema,02-02_02_02_230,1,beach,outdoor,8,inc,right,stim/02-02_02_02_230_Slide-09.png,stim/02-02_02_02_230_Slide-10.png,stim/02-02_02_02_230_Slide-11.png,stim/02-02_02_02_230_Slide-12.png,stim/02-02_02_02_230_Slide-16.png
serve,adults,drinks,bedroom_32,mm_51,milk,context,02-02_02_01_208,NaN,bedroom,indoor,6,con,left,stim/02-02_02_01_208_Slide-09.png,stim/02-02_02_01_208_Slide-10.png,stim/02-02_02_01_208_Slide-11.png,stim/02-02_02_01_208_Slide-12.png,stim/02-02_02_01_208_Slide-14.png
serve,adults,drinks,park_16,mm_58,milk,action,02-02_02_02_112,NaN,park,outdoor,5,neu,right,stim/02-02_02_02_112_Slide-09.png,stim/02-02_02_02_112_Slide-10.png,stim/02-02_02_02_112_Slide-11.png,stim/02-02_02_02_112_Slide-12.png,stim/02-02_02_02_112_Slide-13.png
serve,adults,drinks,camping_18,ww_34,milk,other_schema,02-02_02_02_178,NaN,camping,outdoor,8,inc,right,stim/02-02_02_02_178_Slide-09.png,stim/02-02_02_02_178_Slide-10.png,stim/02-02_02_02_178_Slide-11.png,stim/02-02_02_02_178_Slide-12.png,stim/02-02_02_02_178_Slide-16.png
serve,adults,drinks,park_18,ww_57,soda,unrelated,02-02_02_02_170,NaN,park,outdoor,6,con,left,stim/02-02_02_02_170_Slide-09.png,stim/02-02_02_02_170_Slide-10.png,stim/02-02_02_02_170_Slide-11.png,stim/02-02_02_02_170_Slide-12.png,stim/02-02_02_02_170_Slide-14.png
serve,parents,drinks,living_10,ww_28,water,other_schema,02-01_02_01_82,NaN,living,indoor,5,neu,right,stim/02-01_02_01_82_Slide-09.png,stim/02-01_02_01_82_Slide-10.png,stim/02-01_02_01_82_Slide-11.png,stim/02-01_02_01_82_Slide-12.png,stim/02-01_02_01_82_Slide-13.png
serve,parents,drinks,picnic_16,mm_5,juice,unrelated,02-01_02_02_128,NaN,picnic,outdoor,8,inc,right,stim/02-01_02_02_128_Slide-09.png,stim/02-01_02_02_128_Slide-10.png,stim/02-01_02_02_128_Slide-11.png,stim/02-01_02_02_128_Slide-12.png,stim/02-01_02_02_128_Slide-16.png
serve,parents,drinks,picnic_12,wm_10,juice,context,02-01_02_02_124,NaN,picnic,outdoor,6,con,left,stim/02-01_02_02_124_Slide-09.png,stim/02-01_02_02_124_Slide-10.png,stim/02-01_02_02_124_Slide-11.png,stim/02-01_02_02_124_Slide-12.png,stim/02-01_02_02_124_Slide-14.png
serve,parents,drinks,picnic_30,mw_12,milk,action,02-01_02_02_254,1,picnic,outdoor,5,neu,right,stim/02-01_02_02_254_Slide-09.png,stim/02-01_02_02_254_Slide-10.png,stim/02-01_02_02_254_Slide-11.png,stim/02-01_02_02_254_Slide-12.png,stim/02-01_02_02_254_Slide-13.png
serve,parents,drinks,living_30,mw_7,water,action,02-01_02_01_214,1,living,indoor,8,inc,right,stim/02-01_02_01_214_Slide-09.png,stim/02-01_02_01_214_Slide-10.png,stim/02-01_02_01_214_Slide-11.png,stim/02-01_02_01_214_Slide-12.png,stim/02-01_02_01_214_Slide-16.png
serve,parents,drinks,picnic_2,ww_24,water,other_schema,02-01_02_02_58,NaN,picnic,outdoor,6,con,left,stim/02-01_02_02_58_Slide-09.png,stim/02-01_02_02_58_Slide-10.png,stim/02-01_02_02_58_Slide-11.png,stim/02-01_02_02_58_Slide-12.png,stim/02-01_02_02_58_Slide-14.png
serve,parents,drinks,camping_12,wm_22,water,unrelated,02-01_02_02_116,NaN,camping,outdoor,5,neu,right,stim/02-01_02_02_116_Slide-09.png,stim/02-01_02_02_116_Slide-10.png,stim/02-01_02_02_116_Slide-11.png,stim/02-01_02_02_116_Slide-12.png,stim/02-01_02_02_116_Slide-13.png
serve,parents,drinks,office_32,mm_9,juice,context,02-01_02_01_224,NaN,office,indoor,8,inc,right,stim/02-01_02_01_224_Slide-09.png,stim/02-01_02_01_224_Slide-10.png,stim/02-01_02_01_224_Slide-11.png,stim/02-01_02_01_224_Slide-12.png,stim/02-01_02_01_224_Slide-16.png
serve,parents,drinks,picnic_18,ww_7,water,other_schema,02-01_02_02_186,NaN,picnic,outdoor,6,con,left,stim/02-01_02_02_186_Slide-09.png,stim/02-01_02_02_186_Slide-10.png,stim/02-01_02_02_186_Slide-11.png,stim/02-01_02_02_186_Slide-12.png,stim/02-01_02_02_186_Slide-14.png
serve,adults,food,picnic_29,mw_49,hot_dog,action,02-02_01_02_253,1,picnic,outdoor,5,neu,right,stim/02-02_01_02_253_Slide-09.png,stim/02-02_01_02_253_Slide-10.png,stim/02-02_01_02_253_Slide-11.png,stim/02-02_01_02_253_Slide-12.png,stim/02-02_01_02_253_Slide-13.png
serve,adults,food,park_29,mw_39,hot_dog,unrelated,02-02_01_02_237,1,park,outdoor,8,inc,right,stim/02-02_01_02_237_Slide-09.png,stim/02-02_01_02_237_Slide-10.png,stim/02-02_01_02_237_Slide-11.png,stim/02-02_01_02_237_Slide-12.png,stim/02-02_01_02_237_Slide-16.png
serve,adults,food,kitchen_27,wm_46,donut,other_schema,02-02_01_01_195,NaN,kitchen,indoor,6,con,left,stim/02-02_01_01_195_Slide-09.png,stim/02-02_01_01_195_Slide-10.png,stim/02-02_01_01_195_Slide-11.png,stim/02-02_01_01_195_Slide-12.png,stim/02-02_01_01_195_Slide-14.png
serve,adults,food,camping_7,mm_34,cookie,other_schema,02-02_01_02_55,NaN,camping,outdoor,5,neu,right,stim/02-02_01_02_55_Slide-09.png,stim/02-02_01_02_55_Slide-10.png,stim/02-02_01_02_55_Slide-11.png,stim/02-02_01_02_55_Slide-12.png,stim/02-02_01_02_55_Slide-13.png
serve,adults,food,beach_9,ww_60,hot_dog,action,02-02_01_02_97,NaN,beach,outdoor,8,inc,right,stim/02-02_01_02_97_Slide-09.png,stim/02-02_01_02_97_Slide-10.png,stim/02-02_01_02_97_Slide-11.png,stim/02-02_01_02_97_Slide-12.png,stim/02-02_01_02_97_Slide-16.png
serve,adults,food,camping_9,ww_59,cookie,unrelated,02-02_01_02_113,NaN,camping,outdoor,6,con,left,stim/02-02_01_02_113_Slide-09.png,stim/02-02_01_02_113_Slide-10.png,stim/02-02_01_02_113_Slide-11.png,stim/02-02_01_02_113_Slide-12.png,stim/02-02_01_02_113_Slide-14.png
serve,parents,food,camping_5,mw_9,hot_dog,unrelated,02-01_01_02_53,1,camping,outdoor,5,neu,right,stim/02-01_01_02_53_Slide-09.png,stim/02-01_01_02_53_Slide-10.png,stim/02-01_01_02_53_Slide-11.png,stim/02-01_01_02_53_Slide-12.png,stim/02-01_01_02_53_Slide-13.png
serve,parents,food,kitchen_25,ww_18,hamburger,unrelated,02-01_01_01_193,NaN,kitchen,indoor,8,inc,right,stim/02-01_01_01_193_Slide-09.png,stim/02-01_01_01_193_Slide-10.png,stim/02-01_01_01_193_Slide-11.png,stim/02-01_01_01_193_Slide-12.png,stim/02-01_01_01_193_Slide-16.png
serve,parents,food,park_21,mw_6,donut,context,02-01_01_02_173,1,park,outdoor,6,con,left,stim/02-01_01_02_173_Slide-09.png,stim/02-01_01_02_173_Slide-10.png,stim/02-01_01_02_173_Slide-11.png,stim/02-01_01_02_173_Slide-12.png,stim/02-01_01_02_173_Slide-14.png
serve,parents,food,camping_21,mw_27,hot_dog,unrelated,02-01_01_02_181,1,camping,outdoor,5,neu,right,stim/02-01_01_02_181_Slide-09.png,stim/02-01_01_02_181_Slide-10.png,stim/02-01_01_02_181_Slide-11.png,stim/02-01_01_02_181_Slide-12.png,stim/02-01_01_02_181_Slide-13.png
serve,parents,food,park_7,mm_12,hamburger,context,02-01_01_02_47,NaN,park,outdoor,8,inc,right,stim/02-01_01_02_47_Slide-09.png,stim/02-01_01_02_47_Slide-10.png,stim/02-01_01_02_47_Slide-11.png,stim/02-01_01_02_47_Slide-12.png,stim/02-01_01_02_47_Slide-16.png
serve,parents,food,bedroom_25,ww_10,donut,unrelated,02-01_01_01_201,NaN,bedroom,indoor,6,con,left,stim/02-01_01_01_201_Slide-09.png,stim/02-01_01_01_201_Slide-10.png,stim/02-01_01_01_201_Slide-11.png,stim/02-01_01_01_201_Slide-12.png,stim/02-01_01_01_201_Slide-14.png
serve,parents,food,picnic_23,mm_8,hamburger,context,02-01_01_02_191,NaN,picnic,outdoor,5,neu,right,stim/02-01_01_02_191_Slide-09.png,stim/02-01_01_02_191_Slide-10.png,stim/02-01_01_02_191_Slide-11.png,stim/02-01_01_02_191_Slide-12.png,stim/02-01_01_02_191_Slide-13.png
serve,parents,food,picnic_27,wm_17,cookie,context,02-01_01_02_251,NaN,picnic,outdoor,8,inc,right,stim/02-01_01_02_251_Slide-09.png,stim/02-01_01_02_251_Slide-10.png,stim/02-01_01_02_251_Slide-11.png,stim/02-01_01_02_251_Slide-12.png,stim/02-01_01_02_251_Slide-16.png
serve,parents,food,beach_25,ww_9,donut,context,02-01_01_02_225,NaN,beach,outdoor,6,con,left,stim/02-01_01_02_225_Slide-09.png,stim/02-01_01_02_225_Slide-10.png,stim/02-01_01_02_225_Slide-11.png,stim/02-01_01_02_225_Slide-12.png,stim/02-01_01_02_225_Slide-14.png
